movie_id,tmdb_title,genre_ids,genres,genre_count,status,dataset_title
232,Rumble Fish,"[80, 18, 10749]","[""Crime"", ""Drama"", ""Romance""]",3,success,Rumble Fish
234,The Cabinet of Dr. Caligari,"[18, 27, 53, 80]","[""Drama"", ""Horror"", ""Thriller"", ""Crime""]",4,success,The Cabinet of Dr. Caligari
235,Stand by Me,"[80, 18]","[""Crime"", ""Drama""]",2,success,Stand by Me
236,Muriel's Wedding,"[35, 18, 10749]","[""Comedy"", ""Drama"", ""Romance""]",3,success,Muriel's Wedding
238,The Godfather,"[18, 80]","[""Drama"", ""Crime""]",2,success,The Godfather
239,Some Like It Hot,"[35, 10749, 80]","[""Comedy"", ""Romance"", ""Crime""]",3,success,Some Like It Hot
240,The Godfather Part II,"[18, 80]","[""Drama"", ""Crime""]",2,success,The Godfather Part II
241,Natural Born Killers,"[80, 53, 18]","[""Crime"", ""Thriller"", ""Drama""]",3,success,Natural Born Killers
242,The Godfather Part III,"[80, 18, 53]","[""Crime"", ""Drama"", ""Thriller""]",3,success,The Godfather Part III
243,High Fidelity,"[18, 35, 10749, 10402]","[""Drama"", ""Comedy"", ""Romance"", ""Music""]",4,success,High Fidelity
244,King Kong,"[12, 14, 27]","[""Adventure"", ""Fantasy"", ""Horror""]",3,success,King Kong
245,About a Boy,"[18, 35, 10749]","[""Drama"", ""Comedy"", ""Romance""]",3,success,About a Boy
246,Zatoichi,"[12, 18, 28]","[""Adventure"", ""Drama"", ""Action""]",3,success,Zatoichi
247,The Killing,"[80, 53, 18]","[""Crime"", ""Thriller"", ""Drama""]",3,success,The Killing
249,The War of the Roses,"[35, 18]","[""Comedy"", ""Drama""]",2,success,The War of the Roses
251,Ghost,"[14, 10749, 53]","[""Fantasy"", ""Romance"", ""Thriller""]",3,success,Ghost
252,Willy Wonka & the Chocolate Factory,"[10751, 14, 35]","[""Family"", ""Fantasy"", ""Comedy""]",3,success,Willy Wonka & the Chocolate Factory
253,Live and Let Die,"[12, 28, 53]","[""Adventure"", ""Action"", ""Thriller""]",3,success,Live and Let Die
254,King Kong,"[12, 18, 28]","[""Adventure"", ""Drama"", ""Action""]",3,success,King Kong
255,Stolen Kisses,"[35, 18, 10749]","[""Comedy"", ""Drama"", ""Romance""]",3,success,Stolen Kisses
257,Oliver Twist,"[80, 18, 10751]","[""Crime"", ""Drama"", ""Family""]",3,success,Oliver Twist
258,Bed and Board,"[35, 18, 10749]","[""Comedy"", ""Drama"", ""Romance""]",3,success,Bed and Board
260,The 39 Steps,"[9648, 53]","[""Mystery"", ""Thriller""]",2,success,The 39 Steps
261,Cat on a Hot Tin Roof,[18],"[""Drama""]",1,success,Cat on a Hot Tin Roof
262,The King of Comedy,"[18, 35]","[""Drama"", ""Comedy""]",2,success,The King of Comedy
266,Contempt,"[18, 10749]","[""Drama"", ""Romance""]",2,success,Contempt
267,Live Flesh,"[18, 10749, 53]","[""Drama"", ""Romance"", ""Thriller""]",3,success,Live Flesh
268,Batman,"[14, 28, 80]","[""Fantasy"", ""Action"", ""Crime""]",3,success,Batman
269,Breathless,"[18, 80, 10749]","[""Drama"", ""Crime"", ""Romance""]",3,success,Breathless
272,Batman Begins,"[18, 80, 28]","[""Drama"", ""Crime"", ""Action""]",3,success,Batman Begins
274,The Silence of the Lambs,"[80, 53, 18]","[""Crime"", ""Thriller"", ""Drama""]",3,success,The Silence of the Lambs
275,Fargo,"[80, 18, 53]","[""Crime"", ""Drama"", ""Thriller""]",3,success,Fargo
276,The Edukators,"[18, 35]","[""Drama"", ""Comedy""]",2,success,The Edukators
277,Underworld,"[14, 28, 53]","[""Fantasy"", ""Action"", ""Thriller""]",3,success,Underworld
278,The Shawshank Redemption,"[18, 80]","[""Drama"", ""Crime""]",2,success,The Shawshank Redemption
279,Amadeus,"[18, 36, 10402]","[""Drama"", ""History"", ""Music""]",3,success,Amadeus
280,Terminator 2: Judgment Day,"[28, 53, 878]","[""Action"", ""Thriller"", ""Science Fiction""]",3,success,Terminator 2: Judgment Day
281,Strange Days,"[80, 18, 878, 53]","[""Crime"", ""Drama"", ""Science Fiction"", ""Thriller""]",4,success,Strange Days
284,The Apartment,"[35, 18, 10749]","[""Comedy"", ""Drama"", ""Romance""]",3,success,The Apartment
285,Pirates of the Caribbean: At World's End,"[12, 14, 28]","[""Adventure"", ""Fantasy"", ""Action""]",3,success,Pirates of the Caribbean: At World's End
287,Bull Durham,"[35, 10749]","[""Comedy"", ""Romance""]",2,success,Bull Durham
288,High Noon,[37],"[""Western""]",1,success,High Noon
289,Casablanca,"[18, 10749]","[""Drama"", ""Romance""]",2,success,Casablanca
290,Barton Fink,"[35, 18, 53]","[""Comedy"", ""Drama"", ""Thriller""]",3,success,Barton Fink
293,A River Runs Through It,[18],"[""Drama""]",1,success,A River Runs Through It
296,Terminator 3: Rise of the Machines,"[28, 53, 878]","[""Action"", ""Thriller"", ""Science Fiction""]",3,success,Terminator 3: Rise of the Machines
297,Meet Joe Black,"[14, 18, 10749]","[""Fantasy"", ""Drama"", ""Romance""]",3,success,Meet Joe Black
298,Ocean's Thirteen,"[80, 53]","[""Crime"", ""Thriller""]",2,success,Ocean's Thirteen
299,Ocean's Eleven,"[80, 35, 53]","[""Crime"", ""Comedy"", ""Thriller""]",3,success,Ocean's Eleven
300,The Science of Sleep,"[35, 18, 14]","[""Comedy"", ""Drama"", ""Fantasy""]",3,success,The Science of Sleep
301,Rio Bravo,"[37, 18]","[""Western"", ""Drama""]",2,success,Rio Bravo
302,Swimming Pool,"[80, 53]","[""Crime"", ""Thriller""]",2,success,Swimming Pool
303,Notorious,"[10749, 9648, 18]","[""Romance"", ""Mystery"", ""Drama""]",3,success,Notorious
306,Beverly Hills Cop III,"[28, 35, 80]","[""Action"", ""Comedy"", ""Crime""]",3,success,Beverly Hills Cop III
307,"Rome, Open City","[18, 10752]","[""Drama"", ""War""]",2,success,"Rome, Open City"
308,Broken Flowers,"[35, 18, 9648, 10749]","[""Comedy"", ""Drama"", ""Mystery"", ""Romance""]",4,success,Broken Flowers
309,The Celebration,[18],"[""Drama""]",1,success,The Celebration
310,Bruce Almighty,"[14, 35]","[""Fantasy"", ""Comedy""]",2,success,Bruce Almighty
311,Once Upon a Time in America,"[18, 80]","[""Drama"", ""Crime""]",2,success,Once Upon a Time in America
315,"Faster, Pussycat! Kill! Kill!","[28, 80, 35, 53]","[""Action"", ""Crime"", ""Comedy"", ""Thriller""]",4,success,"Faster, Pussycat! Kill! Kill!"
318,The Million Dollar Hotel,"[18, 53]","[""Drama"", ""Thriller""]",2,success,The Million Dollar Hotel
319,True Romance,"[28, 80, 10749]","[""Action"", ""Crime"", ""Romance""]",3,success,True Romance
