query_movie_id,query_title,model,rank,recommended_movie_id,recommended_title,cosine_similarity,query_genres,recommended_genres,shared_genres,genre_overlap,genre_jaccard
862,Toy Story,mpnet,7,10719,Elf,0.4912055730819702,"Adventure, Animation, Comedy, Family","Comedy, Family, Fantasy","Comedy, Family",1,0.4
862,Toy Story,mpnet,8,718789,Lightyear,0.4845614433288574,"Adventure, Animation, Comedy, Family","Adventure, Animation, Family, Science Fiction","Adventure, Animation, Family",1,0.6
862,Toy Story,mpnet,9,15400,Mickey's Once Upon a Christmas,0.475208580493927,"Adventure, Animation, Comedy, Family","Animation, Comedy, Family","Animation, Comedy, Family",1,0.75
862,Toy Story,mpnet,10,77887,Hawaiian Vacation,0.47037267684936523,"Adventure, Animation, Comedy, Family","Animation, Comedy, Family","Animation, Comedy, Family",1,0.75
862,Toy Story,gte_modernbert,1,863,Toy Story 2,0.7975934743881226,"Adventure, Animation, Comedy, Family","Animation, Comedy, Family","Animation, Comedy, Family",1,0.75
862,Toy Story,gte_modernbert,2,10193,Toy Story 3,0.7972722053527832,"Adventure, Animation, Comedy, Family","Animation, Comedy, Family","Animation, Comedy, Family",1,0.75
862,Toy Story,gte_modernbert,3,301528,Toy Story 4,0.7573784589767456,"Adventure, Animation, Comedy, Family","Adventure, Animation, Comedy, Family","Adventure, Animation, Comedy, Family",1,1.0
862,Toy Story,gte_modernbert,4,718789,Lightyear,0.6877400279045105,"Adventure, Animation, Comedy, Family","Adventure, Animation, Family, Science Fiction","Adventure, Animation, Family",1,0.6
862,Toy Story,gte_modernbert,5,16187,Buzz Lightyear of Star Command: The Adventure Begins,0.6830646395683289,"Adventure, Animation, Comedy, Family","Action, Adventure, Animation, Comedy, Family, Science Fiction, TV Movie","Adventure, Animation, Comedy, Family",1,0.5714285714285714
862,Toy Story,gte_modernbert,6,256835,Toy Story That Time Forgot,0.6763190031051636,"Adventure, Animation, Comedy, Family","Adventure, Animation, Comedy, Family","Adventure, Animation, Comedy, Family",1,1.0
862,Toy Story,gte_modernbert,7,10719,Elf,0.672720193862915,"Adventure, Animation, Comedy, Family","Comedy, Family, Fantasy","Comedy, Family",1,0.4
862,Toy Story,gte_modernbert,8,24100,The Little Vampire,0.6701992154121399,"Adventure, Animation, Comedy, Family","Adventure, Comedy, Family, Fantasy","Adventure, Comedy, Family",1,0.6
862,Toy Story,gte_modernbert,9,1634,Free Willy,0.6612515449523926,"Adventure, Animation, Comedy, Family","Adventure, Drama, Family","Adventure, Family",1,0.4
862,Toy Story,gte_modernbert,10,462883,Woody Woodpecker,0.6587657928466797,"Adventure, Animation, Comedy, Family","Animation, Comedy, Family","Animation, Comedy, Family",1,0.75
238,The Godfather,minilm,1,240,The Godfather Part II,0.8038132786750793,"Crime, Drama","Crime, Drama","Crime, Drama",1,1.0
238,The Godfather,minilm,2,242,The Godfather Part III,0.6521334648132324,"Crime, Drama","Crime, Drama, Thriller","Crime, Drama",1,0.6666666666666666
238,The Godfather,minilm,3,1013601,The Alto Knights,0.5417301654815674,"Crime, Drama","Crime, Drama, History","Crime, Drama",1,0.6666666666666666
238,The Godfather,minilm,4,873126,My Name Is Vendetta,0.5406330823898315,"Crime, Drama","Action, Adventure, Crime, Thriller",Crime,1,0.2
238,The Godfather,minilm,5,4477,The Devil's Own,0.5107191801071167,"Crime, Drama","Crime, Drama, Thriller","Crime, Drama",1,0.6666666666666666
238,The Godfather,minilm,6,19413,"Ugly, Dirty and Bad",0.509203314781189,"Crime, Drama","Comedy, Drama",Drama,1,0.3333333333333333
238,The Godfather,minilm,7,59,A History of Violence,0.5074642896652222,"Crime, Drama","Crime, Drama, Thriller","Crime, Drama",1,0.6666666666666666
238,The Godfather,minilm,8,438396,Unknown Origins,0.5021933317184448,"Crime, Drama","Drama, Thriller",Drama,1,0.3333333333333333
238,The Godfather,minilm,9,14400,The Heir Apparent: Largo Winch,0.5016465783119202,"Crime, Drama","Action, Adventure, Drama, Thriller",Drama,1,0.2
238,The Godfather,minilm,10,575452,The Traitor,0.49409669637680054,"Crime, Drama","Crime, Drama, Thriller","Crime, Drama",1,0.6666666666666666
238,The Godfather,mpnet,1,242,The Godfather Part III,0.706571102142334,"Crime, Drama","Crime, Drama, Thriller","Crime, Drama",1,0.6666666666666666
238,The Godfather,mpnet,2,240,The Godfather Part II,0.6992446184158325,"Crime, Drama","Crime, Drama","Crime, Drama",1,1.0
238,The Godfather,mpnet,3,1013601,The Alto Knights,0.5778154730796814,"Crime, Drama","Crime, Drama, History","Crime, Drama",1,0.6666666666666666
238,The Godfather,mpnet,4,877,Scarface,0.5541206002235413,"Crime, Drama","Action, Crime, Drama, Thriller","Crime, Drama",1,0.5
238,The Godfather,mpnet,5,11659,The Best of Youth,0.553597629070282,"Crime, Drama","Drama, History, Romance",Drama,1,0.25
238,The Godfather,mpnet,6,10778,The Man Who Wasn't There,0.5533126592636108,"Crime, Drama","Crime, Drama","Crime, Drama",1,1.0
238,The Godfather,mpnet,7,36940,The First Beautiful Thing,0.5489879846572876,"Crime, Drama","Comedy, Drama",Drama,1,0.3333333333333333
238,The Godfather,mpnet,8,112205,The Family,0.5458277463912964,"Crime, Drama","Action, Comedy, Crime",Crime,1,0.25
238,The Godfather,mpnet,9,239877,The Mafia Kills Only in Summer,0.5444613695144653,"Crime, Drama","Comedy, Crime, Drama, Romance","Crime, Drama",1,0.5
238,The Godfather,mpnet,10,524369,The Many Saints of Newark,0.5381444692611694,"Crime, Drama","Crime, Drama","Crime, Drama",1,1.0
238,The Godfather,gte_modernbert,1,240,The Godfather Part II,0.7690685391426086,"Crime, Drama","Crime, Drama","Crime, Drama",1,1.0
238,The Godfather,gte_modernbert,2,242,The Godfather Part III,0.7404598593711853,"Crime, Drama","Crime, Drama, Thriller","Crime, Drama",1,0.6666666666666666
238,The Godfather,gte_modernbert,3,873126,My Name Is Vendetta,0.703300952911377,"Crime, Drama","Action, Adventure, Crime, Thriller",Crime,1,0.2
238,The Godfather,gte_modernbert,4,460059,Burn Out,0.6976104974746704,"Crime, Drama","Action, Crime, Thriller",Crime,1,0.25
238,The Godfather,gte_modernbert,5,571495,The Ruthless,0.6915704011917114,"Crime, Drama","Crime, Drama","Crime, Drama",1,1.0
238,The Godfather,gte_modernbert,6,877,Scarface,0.6902776956558228,"Crime, Drama","Action, Crime, Drama, Thriller","Crime, Drama",1,0.5
238,The Godfather,gte_modernbert,7,524369,The Many Saints of Newark,0.6896155476570129,"Crime, Drama","Crime, Drama","Crime, Drama",1,1.0
238,The Godfather,gte_modernbert,8,11659,The Best of Youth,0.6890550255775452,"Crime, Drama","Drama, History, Romance",Drama,1,0.25
238,The Godfather,gte_modernbert,9,76600,Avatar: The Way of Water,0.6753450632095337,"Crime, Drama","Action, Adventure, Science Fiction",,0,0.0
238,The Godfather,gte_modernbert,10,8292,Four Brothers,0.6694335341453552,"Crime, Drama","Action, Crime",Crime,1,0.3333333333333333
603,The Matrix,minilm,1,604,The Matrix Reloaded,0.5804275274276733,"Action, Science Fiction","Action, Adventure, Science Fiction, Thriller","Action, Science Fiction",1,0.5
603,The Matrix,minilm,2,10999,Commando,0.556394636631012,"Action, Science Fiction","Action, Adventure, Thriller",Action,1,0.25
603,The Matrix,minilm,3,2322,Sneakers,0.5408909320831299,"Action, Science Fiction","Comedy, Crime, Drama",,0,0.0
603,The Matrix,minilm,4,157834,The Zero Theorem,0.5113346576690674,"Action, Science Fiction","Drama, Fantasy, Science Fiction",Science Fiction,1,0.25
603,The Matrix,minilm,5,9989,Antitrust,0.5022814273834229,"Action, Science Fiction","Action, Crime, Drama",Action,1,0.25
603,The Matrix,minilm,6,586810,Mars Express,0.5010035037994385,"Action, Science Fiction","Animation, Science Fiction, Thriller",Science Fiction,1,0.25
603,The Matrix,minilm,7,10428,Hackers,0.493929386138916,"Action, Science Fiction","Action, Crime, Drama, Thriller",Action,1,0.2
603,The Matrix,minilm,8,624860,The Matrix Resurrections,0.49223294854164124,"Action, Science Fiction","Action, Adventure, Science Fiction","Action, Science Fiction",1,0.6666666666666666
603,The Matrix,minilm,9,10945,Jumpin' Jack Flash,0.4786674678325653,"Action, Science Fiction","Comedy, Romance, Thriller",,0,0.0
603,The Matrix,minilm,10,55931,The Animatrix,0.477766752243042,"Action, Science Fiction","Animation, Science Fiction",Science Fiction,1,0.3333333333333333
603,The Matrix,mpnet,1,624860,The Matrix Resurrections,0.5928363800048828,"Action, Science Fiction","Action, Adventure, Science Fiction","Action, Science Fiction",1,0.6666666666666666
603,The Matrix,mpnet,2,605,The Matrix Revolutions,0.5722343921661377,"Action, Science Fiction","Action, Adventure, Science Fiction, Thriller","Action, Science Fiction",1,0.5
603,The Matrix,mpnet,3,205596,The Imitation Game,0.5610901117324829,"Action, Science Fiction","Drama, History, Thriller, War",,0,0.0
603,The Matrix,mpnet,4,55931,The Animatrix,0.5513427257537842,"Action, Science Fiction","Animation, Science Fiction",Science Fiction,1,0.3333333333333333
603,The Matrix,mpnet,5,604,The Matrix Reloaded,0.5271527171134949,"Action, Science Fiction","Action, Adventure, Science Fiction, Thriller","Action, Science Fiction",1,0.5
603,The Matrix,mpnet,6,586810,Mars Express,0.506683349609375,"Action, Science Fiction","Animation, Science Fiction, Thriller",Science Fiction,1,0.25
603,The Matrix,mpnet,7,10945,Jumpin' Jack Flash,0.49688810110092163,"Action, Science Fiction","Comedy, Romance, Thriller",,0,0.0
603,The Matrix,mpnet,8,670292,The Creator,0.4958993196487427,"Action, Science Fiction","Action, Adventure, Science Fiction","Action, Science Fiction",1,0.6666666666666666
603,The Matrix,mpnet,9,2322,Sneakers,0.4925493001937866,"Action, Science Fiction","Comedy, Crime, Drama",,0,0.0
603,The Matrix,mpnet,10,97,Tron,0.49227815866470337,"Action, Science Fiction","Action, Adventure, Science Fiction","Action, Science Fiction",1,0.6666666666666666
603,The Matrix,gte_modernbert,1,860,WarGames,0.7359635233879089,"Action, Science Fiction","Drama, Science Fiction, Thriller",Science Fiction,1,0.25
603,The Matrix,gte_modernbert,2,9323,Ghost in the Shell,0.7282288074493408,"Action, Science Fiction","Action, Animation, Science Fiction","Action, Science Fiction",1,0.6666666666666666
603,The Matrix,gte_modernbert,3,604,The Matrix Reloaded,0.7250813245773315,"Action, Science Fiction","Action, Adventure, Science Fiction, Thriller","Action, Science Fiction",1,0.5
603,The Matrix,gte_modernbert,4,97,Tron,0.7240980863571167,"Action, Science Fiction","Action, Adventure, Science Fiction","Action, Science Fiction",1,0.6666666666666666
603,The Matrix,gte_modernbert,5,363579,The Age of Shadows,0.7238298654556274,"Action, Science Fiction","Action, History, Thriller",Action,1,0.25
603,The Matrix,gte_modernbert,6,605,The Matrix Revolutions,0.72278892993927,"Action, Science Fiction","Action, Adventure, Science Fiction, Thriller","Action, Science Fiction",1,0.5
603,The Matrix,gte_modernbert,7,284427,Who Am I,0.7221059799194336,"Action, Science Fiction",Thriller,,0,0.0
603,The Matrix,gte_modernbert,8,87101,Terminator Genisys,0.7212311029434204,"Action, Science Fiction","Action, Science Fiction, Thriller","Action, Science Fiction",1,0.6666666666666666
603,The Matrix,gte_modernbert,9,586810,Mars Express,0.72038733959198,"Action, Science Fiction","Animation, Science Fiction, Thriller",Science Fiction,1,0.25
603,The Matrix,gte_modernbert,10,10999,Commando,0.7196038365364075,"Action, Science Fiction","Action, Adventure, Thriller",Action,1,0.25
597,Titanic,minilm,1,19997,Niagara,0.4954584538936615,"Drama, Romance","Crime, Thriller",,0,0.0
597,Titanic,minilm,2,13283,Barbie as the Island Princess,0.4662162661552429,"Drama, Romance","Animation, Family",,0,0.0
597,Titanic,minilm,3,25189,The Mirror Has Two Faces,0.45135626196861267,"Drama, Romance","Comedy, Drama, Romance","Drama, Romance",1,0.6666666666666666
597,Titanic,minilm,4,588,Silent Hill,0.4405806064605713,"Drama, Romance","Horror, Mystery",,0,0.0
597,Titanic,minilm,5,490445,Dumped,0.42291539907455444,"Drama, Romance",Comedy,,0,0.0
597,Titanic,minilm,6,11489,Rosetta,0.39672479033470154,"Drama, Romance",Drama,Drama,1,0.5
597,Titanic,minilm,7,10493,Dead Calm,0.394619345664978,"Drama, Romance","Horror, Thriller",,0,0.0
597,Titanic,minilm,8,635910,The Last Voyage of the Demeter,0.3931366205215454,"Drama, Romance","Fantasy, Horror",,0,0.0
597,Titanic,minilm,9,8966,Twilight,0.38000988960266113,"Drama, Romance","Drama, Fantasy, Romance","Drama, Romance",1,0.6666666666666666
597,Titanic,minilm,10,4587,Mermaids,0.3770739436149597,"Drama, Romance","Comedy, Drama, Romance","Drama, Romance",1,0.6666666666666666
597,Titanic,mpnet,1,12155,Alice in Wonderland,0.4504970610141754,"Drama, Romance","Adventure, Family, Fantasy",,0,0.0
597,Titanic,mpnet,2,19997,Niagara,0.4445120394229889,"Drama, Romance","Crime, Thriller",,0,0.0
597,Titanic,mpnet,3,401200,Kursk,0.43096858263015747,"Drama, Romance","Action, Drama, History, Thriller",Drama,1,0.2
597,Titanic,mpnet,4,27374,Lake Mungo,0.4263554811477661,"Drama, Romance","Horror, Thriller",,0,0.0
597,Titanic,mpnet,5,309304,Grandma,0.41582125425338745,"Drama, Romance","Comedy, Drama",Drama,1,0.3333333333333333
597,Titanic,mpnet,6,13283,Barbie as the Island Princess,0.4118462800979614,"Drama, Romance","Animation, Family",,0,0.0
597,Titanic,mpnet,7,293863,The Age of Adaline,0.40932467579841614,"Drama, Romance","Drama, Fantasy, Romance","Drama, Romance",1,0.6666666666666666
597,Titanic,mpnet,8,503,Poseidon,0.40274879336357117,"Drama, Romance","Action, Adventure, Drama, Thriller",Drama,1,0.2
597,Titanic,mpnet,9,10867,Malena,0.39568960666656494,"Drama, Romance",Drama,Drama,1,0.5
597,Titanic,mpnet,10,311291,45 Years,0.3917217254638672,"Drama, Romance","Drama, Romance","Drama, Romance",1,1.0
597,Titanic,gte_modernbert,1,2252,Eastern Promises,0.6408401727676392,"Drama, Romance","Crime, Mystery, Thriller",,0,0.0
597,Titanic,gte_modernbert,2,551,The Poseidon Adventure,0.6400470733642578,"Drama, Romance","Adventure, Drama, Thriller",Drama,1,0.25
597,Titanic,gte_modernbert,3,21057,Ocean Waves,0.6358355283737183,"Drama, Romance","Animation, Drama, Romance","Drama, Romance",1,0.6666666666666666
597,Titanic,gte_modernbert,4,785542,The Outrun,0.6348251104354858,"Drama, Romance",Drama,Drama,1,0.5
597,Titanic,gte_modernbert,5,1290879,The Woman in Cabin 10,0.6345946788787842,"Drama, Romance","Crime, Mystery, Thriller",,0,0.0
597,Titanic,gte_modernbert,6,332340,Man Up,0.6331479549407959,"Drama, Romance","Comedy, Romance",Romance,1,0.3333333333333333
597,Titanic,gte_modernbert,7,10606,The Philadelphia Experiment,0.6314542889595032,"Drama, Romance","Adventure, Science Fiction, Thriller",,0,0.0
597,Titanic,gte_modernbert,8,490445,Dumped,0.6312099695205688,"Drama, Romance",Comedy,,0,0.0
597,Titanic,gte_modernbert,9,9073,Free Willy 2: The Adventure Home,0.6300264000892639,"Drama, Romance","Adventure, Comedy, Drama, Family",Drama,1,0.2
597,Titanic,gte_modernbert,10,363676,Sully,0.6298248171806335,"Drama, Romance","Drama, History",Drama,1,0.3333333333333333
348,Alien,minilm,1,679,Aliens,0.48905473947525024,"Horror, Science Fiction","Action, Science Fiction, Thriller",Science Fiction,1,0.25
